pk,name,category,direct_parents
10549,Arroyo Hondo,other,"1053,3385"
10550,San Cristobal,other,1053
10551,Ojo Caliente,other,"1053,1054"
10552,Ranchos de Taos,other,1053
10553,Taos Pueblo,other,1053
10554,Los Ojos,other,1054
10555,Hernandez,other,1054
10556,Alcalde,other,1054
10557,Brazos,other,1054
10558,Abiquiu,other,1054
10559,Canova,other,1054
10560,La Mesilla,other,1054
10561,Tierra Amarilla,other,1054
10562,Ensenada,other,1054
10563,Ojo Sarco,other,1054
10564,Lyden,other,1054
10565,Rio Chiquito,other,"1054,3385"
10566,La Villita,other,1054
10567,Chamita,other,1054
10568,Los Luceros,other,1054
10569,La Madera,other,"1271,1054"
10570,Youngsville,other,1054
10571,Española,other,"1054,3385"
10572,Chama,other,1054
10573,Lybrook,other,1054
10574,Medanales,other,1054
10575,Pueblito,other,1054
10576,Lumberton,other,1054
10577,Gallina,other,1054
10578,Dixon,other,1054
10579,Canjilon,other,1054
10580,San Jose,other,"1054,2636"
10581,Cordova,other,1054
10582,Coyote,other,1054
10583,El Rito,other,1054
10584,Velarde,other,1054
10585,Dulce,other,1054
10586,Chimayo,other,"1054,3385"
10587,Santa Clara Pueblo,other,1054
10588,Truchas,other,1054
10589,Lindrith,other,1054
10590,Chili,other,1054
10591,Ohkay Owingeh,other,1054
10592,Cañones,other,1054
10593,El Duende,other,1054
10594,Bolivia,other,1055
10595,Varnamtown,other,1055
10596,Leland,other,1055
10597,Oak Island,other,1055
10598,Northwest,other,1055
10599,Bald Head Island,other,1055
10600,Belville,other,1055
10601,Boiling Spring Lakes,other,1055
10602,Carolina Shores,other,1055
10603,Sandy Creek,other,1055
10604,Calabash,other,1055
10605,Holden Beach,other,1055
10606,St. James,other,1055
10607,Sunset Beach,other,1055
10608,Shallotte,other,1055
10609,Ocean Isle Beach,other,1055
10610,Navassa,other,1055
10611,Southport,other,1055
10612,Caswell Beach,other,1055
10613,Cornelius,other,1056
10614,Huntersville,other,1056
10615,Stallings,other,"2386,1056"
10616,Matthews,other,1056
10617,Mint Hill,other,"2386,1056"
10618,Pineville,other,1056
10619,Charlotte,other,1056
10620,Davidson,other,"1056,3378"
10621,Stonewall,other,1057
10622,Vandemere,other,1057
10623,Mesic,other,1057
10624,Arapahoe,other,1057
10625,Alliance,other,1057
10626,Grantsboro,other,1057
10627,Hobucken,other,1057
10628,Bayboro,other,1057
10629,Minnesott Beach,other,1057
10630,Oriental,other,1057
10631,New Bern,other,1058
10632,River Bend,other,1058
10633,Cove City,other,1058
10634,Vanceboro,other,1058
10635,Trent Woods,other,1058
10636,James City,other,1058
10637,Brices Creek,other,1058
10638,Dover,other,1058
10639,Cherry Branch,other,1058
10640,Havelock,other,1058
10641,Fairfield Harbour,other,1058
10642,Neuse Forest,other,1058
10643,Bridgeton,other,1058
10644,Long Creek,other,1059
10645,Atkinson,other,1059
