pk,name,category,direct_parents
1641,Wheeler,county,31
1642,Seward,county,31
1643,Hooker,county,31
1644,Lander,county,32
1645,Sierra,county,35
1646,De Baca,county,35
1647,Hinsdale,county,8
1648,Wake,county,37
1649,Pitt,county,37
1650,Burke,county,37
1651,Barnes,county,38
1652,Osceola,county,12
1653,Calhoun,county,12
1654,Okeechobee,county,12
1655,Gilchrist,county,12
1656,Gwinnett,county,13
1657,Burke,county,13
1658,Montgomery,county,13
1659,Telfair,county,13
1660,Fayette,county,13
1661,Hall,county,13
1662,Houston,county,13
1663,McDuffie,county,13
1664,Henry,county,13
1665,Barrow,county,13
1666,Bibb,county,13
1667,Bryan,county,13
1668,Polk,county,13
1669,Toombs,county,13
1670,Jefferson,county,13
1671,Taylor,county,13
1672,Talbot,county,13
1673,Brantley,county,13
1674,Hawaii,county,15
1675,Maui,county,15
1676,Elmore,county,16
1677,Lincoln,county,16
1678,Custer,county,16
1679,Fremont,county,16
1680,Adams,county,16
1681,Tippecanoe,county,18
1682,Daviess,county,18
1683,Brown,county,18
1684,Indiana,county,42
1685,Clinton,county,42
1686,Clearfield,county,42
1687,Juniata,county,42
1688,Berkeley,county,45
1689,Kershaw,county,45
1690,Sumter,county,45
1691,Orangeburg,county,45
1692,Union,county,45
1693,Darlington,county,45
1694,Lee,county,45
1695,Allendale,county,45
1696,Putnam,county,12
1697,Concordia,parish,22
1698,Tensas,parish,22
1699,Union,parish,22
1700,West Carroll,parish,22
1701,St. Tammany,parish,22
1702,Lincoln,county,23
1703,Alachua,county,12
1704,St. Mary's,county,24
1705,Yukon-Koyukuk,census area,2
1706,Northwest Arctic,borough,2
1707,Talbot,county,24
1708,Bristol,county,25
1709,Cullman,county,1
1710,Elmore,county,1
1711,Etowah,county,1
1712,Grand Traverse,county,26
1713,Dallas,county,1
1714,Wilkin,county,27
1715,Koochiching,county,27
1716,Kittson,county,27
1717,Clarke,county,1
1718,Pearl River,county,28
1719,Warren,county,28
1720,DeSoto,county,28
1721,Jackson,county,29
1722,Scott,county,29
1723,Cass,county,29
1724,Hill,county,30
1725,Carbon,county,30
1726,Rockingham,county,33
1727,San Juan,county,35
1728,Luna,county,35
1729,Shenandoah,county,51
1730,Warren,county,51
1731,Roanoke,county,51
1732,Amelia,county,51
1733,Greensville,county,51
1734,Campbell,county,51
1735,Lunenburg,county,51
1736,Raleigh,county,54
1737,Nicholas,county,54
1738,Braxton,county,54
1739,Adams,county,55
1740,Foster,county,38
1741,Morton,county,38
1742,Shelby,county,39
1743,Henry,county,39
1744,Hocking,county,39
1745,Kiowa,county,40
1746,Tulsa,county,40
1747,Woods,county,40
1748,Pawnee,county,40
1749,Latimer,county,40
1750,Josephine,county,41
1751,Union,county,41
1752,Jefferson,county,41
1753,Perry,county,42
1754,Fayette,county,42
1755,Lucas,county,39
1756,Columbus,county,37
1757,Clay,county,37
1758,Onslow,county,37
1759,Northampton,county,37
1760,Walsh,county,38
1761,Hamilton,county,39
1762,Washington,county,39
1763,Cuyahoga,county,39
1764,Marshall,county,40
1765,Sequoyah,county,40
1766,Multnomah,county,41
1767,Greene,county,42
1768,Northampton,county,42
1769,Wayne,county,42
1770,Jasper,county,45
1771,Marlboro,county,45
1772,Sumner,county,47
1773,Campbell,county,47
1774,Kenedy,county,48
1775,Webb,county,48
1776,Galveston,county,48
1777,Orange,county,48
1778,Rich,county,49
1779,Pittsylvania,county,51
1780,Mecklenburg,county,51
1781,Carroll,county,51
1782,Dickenson,county,51
1783,York,county,51
1784,Lancaster,county,51
1785,Skagit,county,53
1786,Clark,county,53
1787,Benton,county,53
1788,Okanogan,county,53
1789,Berkeley,county,54
1790,Sitka,borough,2
1791,Independence,county,5
1792,Woodruff,county,5
1793,Conway,county,5
1794,Montgomery,county,5
1795,Calhoun,county,5
1796,Madera,county,6
1797,San Joaquin,county,6
1798,Glenn,county,6
1799,Davis,county,49
1800,Isle of Wight,county,51
1801,New Kent,county,51
1802,Buckingham,county,51
1803,Montgomery,county,51
1804,Augusta,county,51
1805,Culpeper,county,51
1806,Prince Edward,county,51
1807,Southampton,county,51
1808,Amherst,county,51
1809,Floyd,county,51
1810,Madison,county,51
1811,Orange,county,51
1812,Charles City,county,51
1813,King and Queen,county,51
1814,Lexington,independent city,51
1815,Grant,county,53
1816,Lincoln,county,53
1817,Tucker,county,54
1818,Greenbrier,county,54
1819,Boone,county,54
1820,Kanawha,county,54
1821,Logan,county,54
1822,Marion,county,54
1823,Ritchie,county,54
1824,Barbour,county,54
1825,Lewis,county,54
1826,Sauk,county,55
1827,Juneau,county,55
1828,Marquette,county,55
1829,Sublette,county,56
1830,Baldwin,county,1
1831,Barbour,county,1
1832,Little River,county,5
1833,Los Angeles,county,6
1834,San Luis Obispo,county,6
1835,Alpine,county,6
1836,Placer,county,6
1837,Mesa,county,8
1838,Fairfield,county,9
1839,District of Columbia,other,11
1840,Palm Beach,county,12
1841,Lake,county,17
1842,Walton,county,12
1843,Gadsden,county,12
1844,Marion,county,17
1845,Muscogee,county,13
1846,Screven,county,13
1847,Rabun,county,13
1848,Charlton,county,13
1849,Pulaski,county,17
1850,Winnebago,county,19
1851,Middlesex,county,34
1852,Clark,county,20
1853,Oswego,county,36
1854,Orange,county,36
1855,Delaware,county,36
1856,Jefferson,county,21
1857,Lafourche,parish,22
1858,Webster,parish,22
1859,Benton,county,18
1860,Denver,county,8
1861,Chaffee,county,8
1862,Lake,county,8
1863,Highlands,county,12
1864,Liberty,county,12
1865,Cobb,county,13
1866,Wilkes,county,13
1867,White,county,13
1868,Tattnall,county,13
1869,Treutlen,county,13
1870,Wayne,county,13
1871,Gilmer,county,13
1872,Oconee,county,13
1873,Kauai,county,15
1874,Camas,county,16
1875,Power,county,16
1876,Washington,county,18
1877,Huntington,county,18
1878,Pike,county,18
1879,O'Brien,county,19
1880,Riley,county,20
1881,Gray,county,20
1882,Kearny,county,20
1883,Butler,county,21
1884,Allen,county,21
1885,Bath,county,21
1886,Rowan,county,21
1887,Rockcastle,county,21
1888,Iberville,parish,22
1889,Rapides,parish,22
1890,Pointe Coupee,parish,22
1891,St. Helena,parish,22
1892,Piscataquis,county,23
1893,Franklin,county,23
1894,Missaukee,county,26
1895,Yazoo,county,28
1896,Yalobusha,county,28
1897,Callaway,county,29
1898,Dade,county,29
1899,Carroll,county,29
1900,Camden,county,29
1901,Powell,county,30
1902,Fergus,county,30
1903,Rosebud,county,30
1904,Clay,county,31
1905,Caldwell,county,37
1906,Nash,county,37
1907,Johnston,county,37
1908,Buncombe,county,37
1909,Richmond,county,37
1910,McDowell,county,37
1911,Yancey,county,37
1912,Benson,county,38
1913,McLean,county,38
1914,Logan,county,39
1915,Deschutes,county,41
1916,Centre,county,42
1917,Chester,county,42
1918,Lebanon,county,42
1919,Northumberland,county,42
1920,Richland,county,45
1921,Pickens,county,45
1922,Marion,county,45
1923,Pennington,county,46
1924,Charles Mix,county,46
1925,Hickman,county,47
1926,Grainger,county,47
1927,Smith,county,47
1928,Roane,county,47
1929,Johnson,county,47
1930,Carter,county,47
1931,Morris,county,48
1932,Bosque,county,48
1933,Goliad,county,48
1934,Upton,county,48
1935,Titus,county,48
1936,Nolan,county,48
1937,Menard,county,48
1938,Throckmorton,county,48
1939,Loving,county,48
1940,Garfield,county,49
1941,Carbon,county,49
1942,Beaver,county,49
1943,Ramsey,county,38
1944,McKenzie,county,38
1945,Cleveland,county,40
1946,McClain,county,40
1947,Stephens,county,40
1948,Pottawatomie,county,40
1949,Schley,county,13
1950,Edwards,county,17
1951,Jefferson,county,12
1952,McIntosh,county,13
1953,Chatham,county,13
1954,Effingham,county,13
1955,Clay,county,5
1956,San Bernardino,county,6
1957,San Mateo,county,6
1958,El Dorado,county,6
1959,Las Animas,county,8
1960,Phillips,county,8
1961,Washoe,county,32
1962,Hyde,county,37
1963,Polk,county,37
1964,Rolette,county,38
1965,Tillman,county,40
1966,Choctaw,county,40
1967,Delaware,county,42
1968,Colleton,county,45
1969,Georgetown,county,45
1970,Hardeman,county,47
1971,Henry,county,47
1972,Teton,county,16
1973,Bear Lake,county,16
1974,Knox,county,18
1975,Alger,county,26
1976,Monroe,county,1
1977,Washington,county,28
1978,St. Charles,county,29
1979,McKinley,county,35
1980,Erie,county,39
1981,Bucks,county,42
1982,Starr,county,48
1983,Clallam,county,53
1984,Cross,county,5
1985,Adams,county,8
1986,Wilcox,county,13
1987,Boise,county,16
1988,Ford,county,20
1989,Perry,county,21
1990,Vernon,parish,22
1991,Catahoula,parish,22
1992,Adams,county,31
1993,Bladen,county,37
1994,Marion,county,41
1995,Cumberland,county,42
1996,Knox,county,47
1997,Montgomery,county,48
1998,Leon,county,48
1999,Camp,county,48
2000,Louisa,county,51
2001,Bath,county,51
2002,Hartford,county,9
2003,Mohave,county,4
2004,Chicot,county,5
2005,Marin,county,6
2006,Beaverhead,county,30
2007,New Hanover,county,37
2008,Linn,county,41
2009,Grant,county,41
2010,Russell,county,51
2011,Bedford,county,51
2012,Franklin,county,51
2013,Dinwiddie,county,51
2014,Powhatan,county,51
2015,Goochland,county,51
2016,Kittitas,county,53
2017,Harrison,county,54
2018,Lincoln,county,54
2019,Houston,county,1
2020,Ashley,county,5
2021,Santa Clara,county,6
2022,Montezuma,county,8
2023,Pasco,county,12
2024,Lincoln,county,13
2025,Gloucester,county,34
2026,Suffolk,county,36
2027,Jefferson,county,36
2028,Warren,county,36
2029,York,county,23
2030,Lake and Peninsula,borough,2
2031,Anne Arundel,county,24
2032,Wilkinson,county,28
2033,Sanders,county,30
2034,Bertie,county,37
2035,Jefferson,county,40
2036,Pike,county,42
2037,Washington,county,44
2038,Tripp,county,46
2039,Scott,county,47
2040,Reeves,county,48
2041,Nassau,county,36
2042,New York,county,36
2043,Kings,county,36
2044,Ballard,county,21
2045,Cumberland,county,34
2046,St. Mary,parish,22
2047,Beauregard,parish,22
2048,Sumter,county,12
2049,West Feliciana,parish,22
2050,Cumberland,county,23
2051,Waldo,county,23
2052,Somerset,county,23
2053,Sierra,county,6
2054,Suffolk,county,25
2055,Worcester,county,25
2056,Shelby,county,1
2057,Delta,county,26
2058,Keweenaw,county,26
2059,Wayne,county,26
2060,Huron,county,26
2061,Menominee,county,26
2062,Washington,county,27
2063,Adams,county,28
2064,Lowndes,county,28
2065,Tunica,county,28
2066,Bates,county,29
2067,Dunklin,county,29
